D;60.0;64.0;1.0
D+;65.0;69.0;1.5
F;0.0;59.0;0.0
A;90.0;100.0;4.0
B;80.0;84.0;3.0
C;70.0;74.0;2.0
B+;85.0;89.0;3.5
C+;75.0;79.0;2.5

D;60.0;64.0;1.0
D+;65.0;69.0;1.5
F;0.0;59.0;0.0
A;90.0;100.0;4.0
B;80.0;84.0;3.0
C;70.0;74.0;2.0
B+;85.0;89.0;3.5
C+;75.0;79.0;2.5

D;60.0;64.0;1.0
D+;65.0;69.0;1.5
F;0.0;59.0;0.0
A;90.0;100.0;4.0
B;80.0;84.0;3.0
C;70.0;74.0;2.0
B+;85.0;89.0;3.5
C+;75.0;79.0;2.5

D;60.0;64.0;1.0
D+;65.0;69.0;1.5
F;0.0;59.0;0.0
A;90.0;100.0;4.0
B;80.0;84.0;3.0
C;70.0;74.0;2.0
B+;85.0;89.0;3.5
C+;75.0;79.0;2.5

D;60.0;64.0;1.0
D+;65.0;69.0;1.5
F;0.0;59.0;0.0
A;90.0;100.0;4.0
B;80.0;84.0;3.0
C;70.0;74.0;2.0
B+;85.0;89.0;3.5
C+;75.0;79.0;2.5

D;60.0;64.0;1.0
D+;65.0;69.0;1.5
F;0.0;59.0;0.0
A;90.0;100.0;4.0
B;80.0;84.0;3.0
C;70.0;74.0;2.0
B+;85.0;89.0;3.5
C+;75.0;79.0;2.5

D;60.0;64.0;1.0
D+;65.0;69.0;1.5
F;0.0;59.0;0.0
A;90.0;100.0;4.0
B;80.0;84.0;3.0
C;70.0;74.0;2.0
B+;85.0;89.0;3.5
C+;75.0;79.0;2.5

D	60.0	64.0	1.0
D+	65.0	69.0	1.5
F	0.0	59.0	0.0
A	90.0	100.0	4.0
B	80.0	84.0	3.0
C	70.0	74.0	2.0
B+	85.0	89.0	3.5
C+	75.0	79.0	2.5

D	60.0	64.0	1.0
D+	65.0	69.0	1.5
F	0.0	59.0	0.0
A	90.0	100.0	4.0
B	80.0	84.0	3.0
C	70.0	74.0	2.0
B+	85.0	89.0	3.5
C+	75.0	79.0	2.5

D	60.0	64.0	1.0
D+	65.0	69.0	1.5
F	0.0	59.0	0.0
A	90.0	100.0	4.0
B	80.0	84.0	3.0
C	70.0	74.0	2.0
B+	85.0	89.0	3.5
C+	75.0	79.0	2.5

D	60.0	64.0	1.0
D+	65.0	69.0	1.5
F	0.0	59.0	0.0
A	90.0	100.0	4.0
B	80.0	84.0	3.0
C	70.0	74.0	2.0
B+	85.0	89.0	3.5
C+	75.0	79.0	2.5

D	60.0	64.0	1.0
D+	65.0	69.0	1.5
F	0.0	59.0	0.0
A	90.0	100.0	4.0
B	80.0	84.0	3.0
C	70.0	74.0	2.0
B+	85.0	89.0	3.5
C+	75.0	79.0	2.5

D	60.0	64.0	1.0
D+	65.0	69.0	1.5
F	0.0	59.0	0.0
A	90.0	100.0	4.0
B	80.0	84.0	3.0
C	70.0	74.0	2.0
B+	85.0	89.0	3.5
C+	75.0	79.0	2.5

D	60.0	64.0	1.0
D+	65.0	69.0	1.5
F	0.0	59.0	0.0
A	90.0	100.0	4.0
B	80.0	84.0	3.0
C	70.0	74.0	2.0
B+	85.0	89.0	3.5
C+	75.0	79.0	2.5

D	60.0	64.0	1.0
D+	65.0	69.0	1.5
F	0.0	59.0	0.0
A	90.0	100.0	4.0
B	80.0	84.0	3.0
C	70.0	74.0	2.0
B+	85.0	89.0	3.5
C+	75.0	79.0	2.5

D	60.0	64.0	1.0
D+	65.0	69.0	1.5
F	0.0	59.0	0.0
A	90.0	100.0	4.0
B	80.0	84.0	3.0
C	70.0	74.0	2.0
B+	85.0	89.0	3.5
C+	75.0	79.0	2.5

D	60.0	64.0	1.0
D+	65.0	69.0	1.5
F	0.0	59.0	0.0
A	90.0	100.0	4.0
B	80.0	84.0	3.0
C	70.0	74.0	2.0
B+	85.0	89.0	3.5
C+	75.0	79.0	2.5

D	60.0	64.0	1.0
D+	65.0	69.0	1.5
F	0.0	59.0	0.0
A	90.0	100.0	4.0
B	80.0	84.0	3.0
C	70.0	74.0	2.0
B+	85.0	89.0	3.5
C+	75.0	79.0	2.5

D	60.0	64.0	1.0
D+	65.0	69.0	1.5
F	0.0	59.0	0.0
A	90.0	100.0	4.0
B	80.0	84.0	3.0
C	70.0	74.0	2.0
B+	85.0	89.0	3.5
C+	75.0	79.0	2.5

D	60.0	64.0	1.0
D+	65.0	69.0	1.5
F	0.0	59.0	0.0
A	90.0	100.0	4.0
B	80.0	84.0	3.0
C	70.0	74.0	2.0
B+	85.0	89.0	3.5
C+	75.0	79.0	2.5

D	60.0	64.0	1.0
D+	65.0	69.0	1.5
F	0.0	59.0	0.0
A	90.0	100.0	4.0
B	80.0	84.0	3.0
C	70.0	74.0	2.0
B+	85.0	89.0	3.5
C+	75.0	79.0	2.5

D	60.0	64.0	1.0
D+	65.0	69.0	1.5
F	0.0	59.0	0.0
A	90.0	100.0	4.0
B	80.0	84.0	3.0
C	70.0	74.0	2.0
B+	85.0	89.0	3.5
C+	75.0	79.0	2.5

D	60.0	64.0	1.0
D+	65.0	69.0	1.5
F	0.0	59.0	0.0
A	90.0	100.0	4.0
B	80.0	84.0	3.0
C	70.0	74.0	2.0
B+	85.0	89.0	3.5
C+	75.0	79.0	2.5

D	60.0	64.0	1.0
D+	65.0	69.0	1.5
F	0.0	59.0	0.0
A	90.0	100.0	4.0
B	80.0	84.0	3.0
C	70.0	74.0	2.0
B+	85.0	89.0	3.5
C+	75.0	79.0	2.5

D	60.0	64.0	1.0
D+	65.0	69.0	1.5
F	0.0	59.0	0.0
A	90.0	100.0	4.0
B	80.0	84.0	3.0
C	70.0	74.0	2.0
B+	85.0	89.0	3.5
C+	75.0	79.0	2.5

